priority rank,old URL,old title,old meta title,old meta description,old content type,current live status,GSC evidence,featured snippet evidence,backlink evidence,source body found,source body quality,old image availability,image recovery status,Sanity status,best new route,preserve URL or redirect,redirect target,canonical,sitemap status,legal safety status,approval status,recovery classification,priority score,notes
210,https://chamanlawfirm.com/how-do-i-regularize-land-documents-in-ogun-state/,How Do I Regularize Land Documents In Ogun State,How do I regularize land documents in Ogun | Chaman Law Firm,"How to regularize land documents in Ogun State with insights from Chaman Law Firm. Understand the key differences, processes, and legal tips",property/title,redirect configured to /resources/blog/how-do-i-regularize-land-documents-in-ogun-state,61 clicks; 3901 impressions; avg position 8.81 from local GSC Pages.csv,not available locally,not available locally in Sprint 11R,partial evidence available,requires legal/editorial review before publication,Sanity image present,image and alt present in Sanity,approved public,/resources/blog/how-do-i-regularize-land-documents-in-ogun-state,redirect old URL to best new route,/resources/blog/how-do-i-regularize-land-documents-in-ogun-state,https://chamanlawfirm.com/resources/blog/how-do-i-regularize-land-documents-in-ogun-state,included,medium - verify current law and facts before publication,approved public,restore as blog post,699,Selected for deep Sprint 11R recovery inventory.
211,https://chamanlawfirm.com/how-to-obtain-standard-organisat-certificate/,How To Obtain Standard Organisat Certificate,,,general legal education,live 404,58 clicks; 11847 impressions; avg position 9.66 from local GSC Pages.csv,not available locally,not available locally in Sprint 11R,partial evidence available,requires legal/editorial review before publication,legacy image not confirmed,image recovery needed,not restored,/resources/blog/how-to-obtain-standard-organisat-certificate,redirect old URL to best new route,/resources/blog/how-to-obtain-standard-organisat-certificate,https://chamanlawfirm.com/resources/blog/how-to-obtain-standard-organisat-certificate,not included until restored/approved or static target exists,low/medium - editorial and legal review still required,not restored,restore as blog post,698,Selected for deep Sprint 11R recovery inventory.
212,https://chamanlawfirm.com/difference-between-a-parent-company-and-a-subsidiary/,Difference Between A Parent Company And A Subsidiary,Difference Between a Parent Company and a Subsidiary,"DIFFERENCE BETWEEN A PARENT COMPANY AND A SUBSIDIARY, Parent companies own and control up to 51% of a company's stocks and...",property/title,approved Sanity post; missing old-url redirect,56 clicks; 8293 impressions; avg position 22.34 from local GSC Pages.csv,not available locally,not available locally in Sprint 11R,partial evidence available,requires legal/editorial review before publication,Sanity image present,image and alt present in Sanity,approved public,/resources/blog/difference-between-a-parent-company-and-a-subsidiary,redirect old URL to best new route,/resources/blog/difference-between-a-parent-company-and-a-subsidiary,https://chamanlawfirm.com/resources/blog/difference-between-a-parent-company-and-a-subsidiary,included,low/medium - editorial and legal review still required,approved public,redirect one-hop to closest exact live equivalent,693,Selected for deep Sprint 11R recovery inventory.
213,https://chamanlawfirm.com/how-to-make-complaint-for-estimated-bills-in-nigeria/,How To Make Complaint For Estimated Bills In Nigeria,,,general legal education,live 404,66 clicks; 2677 impressions; avg position 11.57 from local GSC Pages.csv,not available locally,not available locally in Sprint 11R,partial evidence available,requires legal/editorial review before publication,legacy image not confirmed,image recovery needed,not restored,/resources/blog/how-to-make-complaint-for-estimated-bills-in-nigeria,redirect old URL to best new route,/resources/blog/how-to-make-complaint-for-estimated-bills-in-nigeria,https://chamanlawfirm.com/resources/blog/how-to-make-complaint-for-estimated-bills-in-nigeria,not included until restored/approved or static target exists,low/medium - editorial and legal review still required,not restored,restore as blog post,687,Selected for deep Sprint 11R recovery inventory.
214,https://chamanlawfirm.com/procedure-for-mergers-and-acquisitions-in-nigeria/,Procedure For Mergers And Acquisitions In Nigeria,,,general legal education,live 404,65 clicks; 3333 impressions; avg position 15.51 from local GSC Pages.csv,not available locally,not available locally in Sprint 11R,partial evidence available,requires legal/editorial review before publication,legacy image not confirmed,image recovery needed,not restored,/resources/blog/procedure-for-mergers-and-acquisitions-in-nigeria,redirect old URL to best new route,/resources/blog/procedure-for-mergers-and-acquisitions-in-nigeria,https://chamanlawfirm.com/resources/blog/procedure-for-mergers-and-acquisitions-in-nigeria,not included until restored/approved or static target exists,low/medium - editorial and legal review still required,not restored,restore as blog post,683,Selected for deep Sprint 11R recovery inventory.
215,https://chamanlawfirm.com/defenses-and-bars-to-a-petition-for-divorce-2/,Defenses And Bars To A Petition For Divorce 2,Powerful Steps: Defenses and Bars to a Petition for Divorce,Explore legal defenses and bars to a petition for divorce in Nigeria. Chaman Law Firm explains how to protect rights and challenge divorce claims.,family law,hidden Sanity draft; do not redirect,66 clicks; 2205 impressions; avg position 13.35 from local GSC Pages.csv,not available locally,not available locally in Sprint 11R,partial evidence available,requires legal/editorial review before publication,legacy image not confirmed,image recovery needed,hidden/not approved,/resources/blog/defenses-and-bars-to-a-petition-for-divorce-2,redirect old URL to best new route,/resources/blog/defenses-and-bars-to-a-petition-for-divorce-2,https://chamanlawfirm.com/resources/blog/defenses-and-bars-to-a-petition-for-divorce-2,not included until restored/approved or static target exists,high - lawyer review required before publication,hidden/not approved,"keep hidden only if legally unsafe, duplicate, or genuinely unsuitable",682,Selected for deep Sprint 11R recovery inventory.
216,https://chamanlawfirm.com/government-acquisition-in-ogun-state/,Government Acquisition In Ogun State,,,general legal education,live 404,65 clicks; 3190 impressions; avg position 6.98 from local GSC Pages.csv,not available locally,not available locally in Sprint 11R,partial evidence available,requires legal/editorial review before publication,legacy image not confirmed,image recovery needed,not restored,/resources/blog/government-acquisition-in-ogun-state,redirect old URL to best new route,/resources/blog/government-acquisition-in-ogun-state,https://chamanlawfirm.com/resources/blog/government-acquisition-in-ogun-state,not included until restored/approved or static target exists,low/medium - editorial and legal review still required,not restored,restore as blog post,682,Selected for deep Sprint 11R recovery inventory.
217,https://chamanlawfirm.com/fencing-approval-in-lagos-key-requirements/,Fencing Approval In Lagos Key Requirements,,,general legal education,live 404,65 clicks; 3092 impressions; avg position 6.71 from local GSC Pages.csv,not available locally,not available locally in Sprint 11R,partial evidence available,requires legal/editorial review before publication,legacy image not confirmed,image recovery needed,not restored,/resources/blog/fencing-approval-in-lagos-key-requirements,redirect old URL to best new route,/resources/blog/fencing-approval-in-lagos-key-requirements,https://chamanlawfirm.com/resources/blog/fencing-approval-in-lagos-key-requirements,not included until restored/approved or static target exists,low/medium - editorial and legal review still required,not restored,restore as blog post,681,Selected for deep Sprint 11R recovery inventory.
218,https://chamanlawfirm.com/challenges-of-customary-marriage/,Challenges Of Customary Marriage,,,family law,live 404,62 clicks; 6047 impressions; avg position 13.26 from local GSC Pages.csv,not available locally,not available locally in Sprint 11R,partial evidence available,requires legal/editorial review before publication,legacy image not confirmed,image recovery needed,not restored,/resources/blog/challenges-of-customary-marriage,redirect old URL to best new route,/resources/blog/challenges-of-customary-marriage,https://chamanlawfirm.com/resources/blog/challenges-of-customary-marriage,not included until restored/approved or static target exists,high - lawyer review required before publication,not restored,restore as blog post,680,Selected for deep Sprint 11R recovery inventory.
219,https://chamanlawfirm.com/clauses-for-drafting-a-tenancy-agreement/,Clauses For Drafting A Tenancy Agreement,Clauses For Drafting A Tenancy Agreement,Introduction A tenancy agreement is a vital document that outlines the terms and conditions governing the relationship between a landlord and a tenant. A tenancy agreement is more than just a piece of paper; it is the,general legal education,hidden Sanity draft; do not redirect,63 clicks; 4906 impressions; avg position 11.33 from local GSC Pages.csv,not available locally,not available locally in Sprint 11R,partial evidence available,requires legal/editorial review before publication,Sanity image present,image and alt present in Sanity,hidden/not approved,/resources/blog/clauses-for-drafting-a-tenancy-agreement,redirect old URL to best new route,/resources/blog/clauses-for-drafting-a-tenancy-agreement,https://chamanlawfirm.com/resources/blog/clauses-for-drafting-a-tenancy-agreement,not included until restored/approved or static target exists,low/medium - editorial and legal review still required,hidden/not approved,"keep hidden only if legally unsafe, duplicate, or genuinely unsuitable",679,Selected for deep Sprint 11R recovery inventory.
