priority rank,old URL,old title,old content type,current status,clicks,impressions,average position,backlink/ranking evidence,source body found,source body quality,image found,old media found,current Sanity status,current redirect status,sitemap status,page type,legal risk,current-law risk,duplicate/cannibalization risk,business value,recommended recovery path,proposed final URL,priority score,notes
220,https://chamanlawfirm.com/ownership-understanding-the-legal/,Ownership Understanding The Legal,general legal education,live 404,51,51,,51 clicks; 4949 impressions; avg position 11.24 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/ownership-understanding-the-legal,611,Attempt recovery before rejection; keep hidden unless all publication gates pass.
221,https://chamanlawfirm.com/building-completion-certificate-in-lagos/,Building Completion Certificate In Lagos,general legal education,live 404,51,51,,51 clicks; 3625 impressions; avg position 6.94 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/building-completion-certificate-in-lagos,611,Attempt recovery before rejection; keep hidden unless all publication gates pass.
222,https://chamanlawfirm.com/right-of-an-illegitimate-child/,Right Of An Illegitimate Child,family law,hidden Sanity draft; do not redirect,60,60,,60 clicks; 10790 impressions; avg position 7.52 from local GSC Pages.csv,yes in Sanity queue,needs review before publication,yes,not confirmed in Sprint 11S,hidden/not approved,hidden Sanity draft; do not redirect,not included until restored/approved or static target exists,blog,high - lawyer review required before publication,high,requires check,score based on local GSC evidence,"keep hidden only if legally unsafe, duplicate, or genuinely unsuitable",https://chamanlawfirm.com/resources/blog/right-of-an-illegitimate-child,601,Attempt recovery before rejection; keep hidden unless all publication gates pass.
223,https://chamanlawfirm.com/governors-consent/,Governors Consent,property/title,redirect configured to /practice-areas/property-real-estate-law/governors-consent,60,60,,60 clicks; 5918 impressions; avg position 9.13 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,redirect configured to /practice-areas/property-real-estate-law/governors-consent,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,redirect one-hop to closest exact live equivalent,https://chamanlawfirm.com/practice-areas/property-real-estate-law/governors-consent,601,Attempt recovery before rejection; keep hidden unless all publication gates pass.
224,https://chamanlawfirm.com/overview-of-statutory-marriage-in-nigeria/,Overview Of Statutory Marriage In Nigeria,family law,redirect configured to /resources/blog/overview-of-statutory-marriage-in-nigeria,57,57,,57 clicks; 8889 impressions; avg position 11.97 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/overview-of-statutory-marriage-in-nigeria,included,blog,high - lawyer review required before publication,high,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/overview-of-statutory-marriage-in-nigeria,571,Attempt recovery before rejection; keep hidden unless all publication gates pass.
225,https://chamanlawfirm.com/sell-family-land-without-everyones-consent/,Sell Family Land Without Everyones Consent,property/title,hidden Sanity draft; do not redirect,57,57,,57 clicks; 8155 impressions; avg position 5.78 from local GSC Pages.csv,yes in Sanity queue,needs review before publication,not confirmed,not confirmed in Sprint 11S,hidden/not approved,hidden Sanity draft; do not redirect,not included until restored/approved or static target exists,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,"keep hidden only if legally unsafe, duplicate, or genuinely unsuitable",https://chamanlawfirm.com/resources/blog/sell-family-land-without-everyones-consent,571,Attempt recovery before rejection; keep hidden unless all publication gates pass.
226,https://chamanlawfirm.com/rights-of-children-born-outside-wedlock/,Rights Of Children Born Outside Wedlock,family law,redirect configured to /resources/blog/rights-of-children-born-outside-wedlock,57,57,,57 clicks; 5792 impressions; avg position 9.89 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/rights-of-children-born-outside-wedlock,included,blog,high - lawyer review required before publication,high,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/rights-of-children-born-outside-wedlock,571,Attempt recovery before rejection; keep hidden unless all publication gates pass.
227,https://chamanlawfirm.com/limitation-of-action-in-nigeria/,Limitation Of Action In Nigeria,general legal education,hidden Sanity draft; do not redirect,57,57,,57 clicks; 4873 impressions; avg position 10.19 from local GSC Pages.csv,yes in Sanity queue,needs review before publication,yes,not confirmed in Sprint 11S,hidden/not approved,hidden Sanity draft; do not redirect,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,"keep hidden only if legally unsafe, duplicate, or genuinely unsuitable",https://chamanlawfirm.com/resources/blog/limitation-of-action-in-nigeria,571,Attempt recovery before rejection; keep hidden unless all publication gates pass.
228,https://chamanlawfirm.com/how-to-legally-subdivide-and-develop-land/,How To Legally Subdivide And Develop Land,property/title,redirect configured to /resources/blog/how-to-legally-subdivide-and-develop-land,57,57,,57 clicks; 2939 impressions; avg position 8.51 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/how-to-legally-subdivide-and-develop-land,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/how-to-legally-subdivide-and-develop-land,571,Attempt recovery before rejection; keep hidden unless all publication gates pass.
229,https://chamanlawfirm.com/difference-between-a-parent-company-and-a-subsidiary/,Difference Between A Parent Company And A Subsidiary,property/title,approved Sanity post; missing old-url redirect,56,56,,56 clicks; 8293 impressions; avg position 22.34 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,approved Sanity post; missing old-url redirect,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,redirect one-hop to closest exact live equivalent,https://chamanlawfirm.com/resources/blog/difference-between-a-parent-company-and-a-subsidiary,561,Attempt recovery before rejection; keep hidden unless all publication gates pass.
230,https://chamanlawfirm.com/tenancy-law-of-lagos-state-2011/,Tenancy Law Of Lagos State 2011,general legal education,approved Sanity post; missing old-url redirect,56,56,,56 clicks; 4974 impressions; avg position 14.13 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,approved Sanity post; missing old-url redirect,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,redirect one-hop to closest exact live equivalent,https://chamanlawfirm.com/resources/blog/tenancy-law-of-lagos-state-2011,561,Attempt recovery before rejection; keep hidden unless all publication gates pass.
231,https://chamanlawfirm.com/how-to-get-international-passport-in-nigeria/,How To Get International Passport In Nigeria,immigration,approved Sanity post; missing old-url redirect,55,55,,55 clicks; 51890 impressions; avg position 16.89 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,approved Sanity post; missing old-url redirect,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,redirect one-hop to closest exact live equivalent,https://chamanlawfirm.com/resources/blog/how-to-get-international-passport-in-nigeria,551,Attempt recovery before rejection; keep hidden unless all publication gates pass.
232,https://chamanlawfirm.com/procedures-for-land-registration-in-nigeria/,Procedures For Land Registration In Nigeria,property/title,approved Sanity post; missing old-url redirect,55,55,,55 clicks; 6515 impressions; avg position 12.7 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,approved Sanity post; missing old-url redirect,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,redirect one-hop to closest exact live equivalent,https://chamanlawfirm.com/resources/blog/procedures-for-land-registration-in-nigeria,551,Attempt recovery before rejection; keep hidden unless all publication gates pass.
